kl_loss,nb_loss,epoch,step
2.1836724281311035,94.62767791748047,0,535
2.673055648803711,89.55181884765625,1,1071
2.7590420246124268,88.83439636230469,2,1607
2.8218908309936523,88.44454956054688,3,2143
2.8670737743377686,88.20032501220703,4,2679
2.8894617557525635,88.0450439453125,5,3215
2.9327290058135986,87.9229507446289,6,3751
2.9698522090911865,87.75836944580078,7,4287
2.983585834503174,87.64087677001953,8,4823
3.0257930755615234,87.56475067138672,9,5359
3.0451953411102295,87.44241333007812,10,5895
3.055361747741699,87.35137176513672,11,6431
3.084109306335449,87.28842163085938,12,6967
3.097499132156372,87.32782745361328,13,7503
3.104717254638672,87.19031524658203,14,8039
3.107802152633667,87.15897369384766,15,8575
3.1313388347625732,87.1075439453125,16,9111
3.1330437660217285,87.0577392578125,17,9647
3.1451821327209473,87.01478576660156,18,10183
3.1465320587158203,87.00641632080078,19,10719
