kl_loss,nb_loss,epoch,step
0.5295382142066956,113.52123260498047,0,535
1.4819484949111938,94.91848754882812,1,1071
1.9255117177963257,88.31439208984375,2,1607
2.0004143714904785,86.78392791748047,3,2143
2.164412498474121,85.62808227539062,4,2679
2.3246874809265137,84.54620361328125,5,3215
2.474294662475586,83.71214294433594,6,3751
2.5668513774871826,83.23646545410156,7,4287
2.6347014904022217,82.88480377197266,8,4823
2.699561834335327,82.58641815185547,9,5359
2.7548160552978516,82.32841491699219,10,5895
2.7947213649749756,82.18204498291016,11,6431
2.8095450401306152,82.03612518310547,12,6967
2.848140001296997,81.87108612060547,13,7503
2.8490495681762695,81.73963928222656,14,8039
2.8791494369506836,81.66883087158203,15,8575
2.9008991718292236,81.576416015625,16,9111
2.9164226055145264,81.48330688476562,17,9647
2.9371469020843506,81.41886901855469,18,10183
2.937849760055542,81.37110900878906,19,10719
