kl_loss,nb_loss,epoch,step
0.8689783215522766,112.59223175048828,0,535
2.197556495666504,94.95796966552734,1,1071
2.564354658126831,91.0678939819336,2,1607
0.9344377517700195,110.04686737060547,3,2649
1.7418971061706543,96.268798828125,4,3185
1.9280626773834229,93.86300659179688,5,3721
2.034973382949829,92.48970031738281,6,4257
2.139946222305298,91.6549301147461,7,4793
2.2218222618103027,90.98628234863281,8,5329
2.287639617919922,90.55626678466797,9,5865
2.313220500946045,90.20794677734375,10,6401
2.3390848636627197,89.97219848632812,11,6937
2.3518409729003906,89.87213134765625,12,7473
2.372847318649292,89.63137817382812,13,8009
2.379490375518799,89.54042053222656,14,8545
2.3944413661956787,89.52130889892578,15,9081
2.401293992996216,89.36675262451172,16,9617
2.4136548042297363,89.26362609863281,17,10153
2.4260313510894775,89.44805145263672,18,10689
2.444131374359131,89.03095245361328,19,11225
