kl_loss,nb_loss,epoch,step
nan,nan,0,535
nan,nan,1,1071
nan,nan,2,1607
nan,nan,3,2143
nan,nan,4,2679
nan,nan,5,3215
nan,nan,6,3751
nan,nan,7,4287
nan,nan,8,4823
nan,nan,9,5359
nan,nan,10,5895
nan,nan,11,6431
nan,nan,12,6967
nan,nan,13,7503
nan,nan,14,8039
nan,nan,15,8575
nan,nan,16,9111
nan,nan,17,9647
nan,nan,18,10183
nan,nan,19,10719
