kl_loss,nb_loss,epoch,step
2.3230514526367188,1024.986083984375,0,79
2.4644553661346436,1020.5144653320312,1,159
2.4488766193389893,1015.3555908203125,2,239
2.5899930000305176,1012.7652587890625,3,319
2.7925968170166016,1010.3597412109375,4,399
2.9938437938690186,1007.8231201171875,5,479
3.030129909515381,1005.8480224609375,6,559
3.0113582611083984,1004.5086669921875,7,639
3.02598237991333,1003.5364990234375,8,719
3.025618076324463,1002.7435302734375,9,799
2.9693894386291504,1002.0875854492188,10,879
3.0115787982940674,1001.6072387695312,11,959
2.9331741333007812,1001.2433471679688,12,1039
2.9691832065582275,1000.9365234375,13,1119
2.9473729133605957,1000.7064208984375,14,1199
2.9247727394104004,1000.5178833007812,15,1279
2.902294635772705,1000.3609619140625,16,1359
2.839240550994873,1000.1739501953125,17,1439
2.837791919708252,1000.1209106445312,18,1519
2.8377397060394287,1000.1043701171875,19,1599
