Gene;GDI;;;
PIK3IP1;4,071188009;;;
TMEM66;4,068351346;;;
AP2S1;4,065018084;;;
NEAT1;4,059017069;;;
PAK1;4,05820903;;;
RNASE6;4,049753807;;;
TNFAIP2;4,048816231;;;
ASAH1;4,045557965;;;
MATK;4,044512053;;;
IFNGR2;4,04104404;;;
LAT2;4,038874289;;;
C20orf27;4,035496893;;;
LEF1;4,034092486;;;
UNC119;4,03272906;;;
ALDH3B1;4,021540983;;;
CD1D;4,011179529;;;
CD99;4,008051531;;;
MAL;3,998522389;;;
CARD9;3,989220744;;;
CEBPB;3,989151044;;;
RPSA;3,987978624;;;
CSF3R;3,985218141;;;
PGLS;3,977565055;;;
HSBP1;3,977461297;;;
PDLIM1;3,975668265;;;
BASP1;3,974687327;;;
PRELID1;3,970811019;;;
DOK2;3,968873375;;;
RPL4;3,965184984;;;
ALOX5;3,954284892;;;
SLC31A2;3,953839835;;;
APLP2;3,948682032;;;
FCGR2B;3,948238473;;;
IRF8;3,947235998;;;
CTD-2267D19,2;3,943276593;;;
PTPN6;3,939763895;;;
NAGA;3,938564714;;;
SIGLEC5;3,937803049;;;
CD247;3,937562222;;;
TALDO1;3,936797694;;;
ATG3;3,936745995;;;
NUP214;3,934865372;;;
G0S2;3,932214595;;;
DYNLL1;3,931224972;;;
ITGB2;3,928606183;;;
RAC1;3,927636334;;;
RPL22;3,926217311;;;
FKBP1A;3,925738395;;;
VASP;3,925226931;;;
TNFRSF8;3,918368253;;;
RGS19;3,916310075;;;
C10orf11;3,908428115;;;
AMICA1;3,908147774;;;
GLTSCR2;3,906340682;;;
THEMIS2;3,905820909;;;
JUNB;3,905121296;;;
MTSS1;3,902841199;;;
FES;3,898848788;;;
PPP1R14A;3,893315157;;;
S1PR5;3,892444128;;;
GLIPR1;3,891846521;;;
HN1;3,888141256;;;
PRSS23;3,887666342;;;
EEF1A1;3,887284284;;;
P2RX1;3,878787042;;;
LSP1;3,877351552;;;
RBP7;3,875924325;;;
RP11-65J3,1;3,875422462;;;
ZDHHC1;3,873523211;;;
SYK;3,86926515;;;
EEF1B2;3,867876952;;;
AES;3,866917929;;;
FLNA;3,866120866;;;
LILRB1;3,86568405;;;
OSCAR;3,865043751;;;
TCF7L2;3,863403419;;;
ATP6V0D1;3,862825293;;;
HK3;3,859827961;;;
GNAI2;3,859235576;;;
IL1B;3,85780319;;;
KLRD1;3,856811833;;;
MTMR11;3,852066164;;;
CD3G;3,851154701;;;
RPL9;3,849863003;;;
TSPO;3,848755971;;;
ADAP2;3,844368363;;;
SELL;3,840345422;;;
RPS3A;3,84015396;;;
SEMA4A;3,838146946;;;
CDKN1A;3,837477918;;;
SCGB3A1;3,827721843;;;
RPS25;3,825244175;;;
CDH23;3,82398391;;;
RASSF4;3,822232291;;;
RHOG;3,822139892;;;
GZMK;3,81992978;;;
SNX10;3,813037986;;;
TPT1;3,809240795;;;
GABARAP;3,806703709;;;
CAT;3,805715765;;;
RPS5;3,805120637;;;
CA2;3,803875921;;;
LYST;3,802766273;;;
BLVRA;3,80177149;;;
SLC43A2;3,79153947;;;
PTCRA;3,789391389;;;
MPP1;3,785470904;;;
LILRB3;3,783110225;;;
NCF4;3,781710584;;;
SERPINF1;3,778844364;;;
CD52;3,778750264;;;
HCST;3,777998747;;;
MAPKAPK3;3,777470389;;;
ARPC1B;3,774699752;;;
LINC00926;3,773536618;;;
NOTCH2NL;3,77043095;;;
CCDC88A;3,761804548;;;
EMILIN2;3,758496273;;;
NFE2;3,754185827;;;
C12orf75;3,754135926;;;
MGST2;3,750531821;;;
RXRA;3,750100224;;;
CD36;3,746706654;;;
REEP5;3,745002774;;;
HVCN1;3,739041801;;;
GPR56;3,736987032;;;
NUDT16;3,736531615;;;
AOAH;3,735218878;;;
TPTEP1;3,732942671;;;
SOD2;3,73124609;;;
EAF2;3,731062301;;;
ASGR1;3,72814984;;;
GP9;3,726691762;;;
RNASET2;3,726333327;;;
RPL14;3,725767281;;;
AGTRAP;3,721993063;;;
RELT;3,72189632;;;
PRKCQ-AS1;3,721672692;;;
RPS13;3,720054503;;;
SPIB;3,716741032;;;
GNA15;3,712299033;;;
LINC00152;3,710798095;;;
BST1;3,710356189;;;
LAT;3,709617413;;;
RNH1;3,70928484;;;
CD8B;3,708481297;;;
C3AR1;3,70633125;;;
RPL36;3,704830686;;;
SH2B2;3,704423519;;;
CSTB;3,703514292;;;
RPS2;3,70110149;;;
AL928768,3;3,699716662;;;
LYAR;3,697141512;;;
PID1;3,694563906;;;
GSTO1;3,691255031;;;
ID2;3,691000246;;;
MEF2C;3,689275934;;;
ROGDI;3,688053004;;;
PABPC1;3,687674786;;;
GYPC;3,684597788;;;
CNPY3;3,681054767;;;
C6orf48;3,678300159;;;
S100A6;3,664324346;;;
RPS28;3,662427499;;;
MPST;3,659994004;;;
VPREB3;3,659679909;;;
MIR142;3,648952119;;;
C10orf54;3,647578046;;;
ASCL2;3,64746006;;;
HLA-DOB;3,647379887;;;
PSMB9;3,644449197;;;
GCA;3,644402962;;;
FBP1;3,644266479;;;
H2AFY;3,642840665;;;
FCRL6;3,641957859;;;
IMPA2;3,639090562;;;
ANXA1;3,638956598;;;
HNMT;3,638175013;;;
LTBR;3,635329516;;;
GNB2;3,634304274;;;
RPL30;3,633048136;;;
LINC00877;3,631812539;;;
APOBEC3G;3,629996002;;;
ARRB1;3,629498569;;;
NANS;3,625745176;;;
FLT3LG;3,625697081;;;
TREML1;3,623943551;;;
LMO2;3,623683159;;;
RPL29;3,62363362;;;
RPL13A;3,621023162;;;
TCIRG1;3,620424798;;;
ACRBP;3,617968452;;;
IL10RB-AS1;3,615574373;;;
PARVG;3,614515943;;;
FCER2;3,61388542;;;
RPS27A;3,612203842;;;
RPS20;3,612081858;;;
CD8A;3,611628494;;;
IGJ;3,611253196;;;
NCR3;3,610582418;;;
APMAP;3,610175339;;;
STX7;3,604513509;;;
RPS29;3,603654899;;;
STAC3;3,600801654;;;
LAMTOR2;3,597998557;;;
YBX3;3,596892519;;;
TNNI2;3,596792562;;;
SPARC;3,595028364;;;
PF4;3,587422789;;;
SNX2;3,586810275;;;
CTSB;3,586731277;;;
EMR1;3,583378121;;;
YWHAH;3,582663169;;;
LINC00936;3,581886296;;;
CCDC50;3,58143652;;;
RPL15;3,581338808;;;
RPS3;3,580848296;;;
COX8A;3,580128184;;;
MSRB1;3,579514695;;;
SLC25A5;3,578832268;;;
RPLP0;3,578809799;;;
MZB1;3,578493612;;;
TPI1;3,576602868;;;
NACA;3,574017735;;;
SNCA;3,573040061;;;
RPS15A;3,572004928;;;
PRKCD;3,571557381;;;
GNB2L1;3,571376593;;;
C1orf21;3,56986466;;;
PPM1N;3,569864551;;;
RPL3;3,568135526;;;
RPL10A;3,564177622;;;
H3F3A;3,563879139;;;
OAZ2;3,563818472;;;
EEF2;3,563780863;;;
GNG11;3,560819432;;;
VIM;3,56036409;;;
HLA-DQB2;3,558451581;;;
RPL7;3,558001044;;;
LAMTOR4;3,557930904;;;
GNG5;3,557448519;;;
ACAP1;3,557425359;;;
TNFRSF13B;3,553326449;;;
RPS9;3,553052442;;;
PPP1CA;3,549922077;;;
RAB24;3,547411789;;;
RPL31;3,546334746;;;
GAPT;3,545315984;;;
RPS6;3,544300571;;;
TPST2;3,542748122;;;
PARVB;3,541410305;;;
IL18;3,540050105;;;
KIAA0930;3,534991287;;;
RPL17;3,533658537;;;
CTSD;3,532520023;;;
S100A10;3,532386933;;;
RPS14;3,53226893;;;
COMT;3,528339894;;;
