kl_metric,nb_metric,epoch,step
0.02826857380568981,0.11120157688856125,0,535
0.07610440999269485,0.09330153465270996,1,1071
0.09473542869091034,0.08784197270870209,2,1607
0.09700164198875427,0.08587508648633957,3,2143
0.1036316379904747,0.0846608579158783,4,2679
0.10874006897211075,0.08392903953790665,5,3215
0.11247903108596802,0.08338108658790588,6,3751
0.11491887271404266,0.08295673131942749,7,4287
0.11685508489608765,0.08265811949968338,8,4823
0.11748088151216507,0.08242980390787125,9,5359
0.11935888975858688,0.0822560116648674,10,5895
0.11978663504123688,0.08209135383367538,11,6431
0.12066984176635742,0.08197661489248276,12,6967
0.12120714038610458,0.08183404803276062,13,7503
0.12219324707984924,0.08171968162059784,14,8039
0.12240488082170486,0.0816030353307724,15,8575
0.12354732304811478,0.08149319142103195,16,9111
0.12381969392299652,0.08141890168190002,17,9647
0.12402365356683731,0.08134937286376953,18,10183
0.12480419874191284,0.08130858838558197,19,10719
