kl_metric,nb_metric,epoch,step
0.5714171528816223,112.38751220703125,0,535
1.4498662948608398,94.53805541992188,1,1071
2.0101020336151123,88.28732299804688,2,1607
2.0806405544281006,86.65067291259766,3,2143
2.19514799118042,85.45872497558594,4,2679
2.286682367324829,84.6591796875,5,3215
2.398501396179199,83.92073059082031,6,3751
2.5146565437316895,83.31877899169922,7,4287
2.584883689880371,82.98417663574219,8,4823
2.661151170730591,82.6497573852539,9,5359
2.689957857131958,82.47836303710938,10,5895
2.709648370742798,82.43415832519531,11,6431
2.75606632232666,82.1524658203125,12,6967
2.768880844116211,81.97735595703125,13,7503
2.78804087638855,81.88214111328125,14,8039
2.810105800628662,81.78752899169922,15,8575
2.8176445960998535,81.74311065673828,16,9111
2.82917857170105,81.66133880615234,17,9647
2.818297863006592,81.60738372802734,18,10183
2.847201347351074,81.56266021728516,19,10719
